FIPS,perc_fluor,year,locationid,datatype,TEETHLOST,DENTALVISITS,high_cl_TEETHLOST,high_cl_DENTAL,low_cl_TEETHLOST,low_cl_DENTAL,SES,HC,REMS,HTT,TOTAL,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_MINRTY,TEETHLOST_pr,DENTALVISITS_pr,FLUORIDE_pr,SES_pr,HC_pr,REMS_pr,HTT_pr,TOTAL_pr,FIPS_num,POV150_pr,UNEMP_pr,HBURD_pr,NOHSDP_pr,UNINSU_pr,MINRTY_pr
01001,65.3,2020,1001,AgeAdjPrv,12.7,62.9,17.5,66.2,8.5,59.1,0.3838,0.7362,0.6337,0.4309,0.513,22.9,2.9,23.3,11.3,8,26,0.4013657056145675,0.6809559939301972,0.3915022761760243,0.3581183611532625,0.7147192716236722,0.6213960546282246,0.44385432473444614,0.49165402124430957,1001,0.4347496206373293,0.13315629742033383,0.6134294385432474,0.4677541729893778,0.4237481031866464,0.6213960546282246
01003,89,2020,1003,AgeAdjPrv,9.9,65.5,14.2,69.2,6.3,61.7,0.3253,0.2724,0.5022,0.3612,0.3103,16.9,3.9,23,9.5,9.5,17.1,0.13353566009104703,0.8088012139605463,0.5660091047040972,0.30728376327769347,0.24620637329286799,0.48975720789074356,0.37291350531107736,0.29855842185128983,1003,0.1657814871016692,0.2879362670713202,0.5910470409711684,0.332701062215478,0.5481790591805766,0.48975720789074356
01005,49.9,2020,1005,AgeAdjPrv,22.3,47.6,27.5,51,17.4,44.1,0.9567,0.9453,0.8962,0.9949,0.9927,40.6,6.9,24.7,25.3,10.7,54.7,0.9647192716236722,0.08915022761760243,0.3342185128983308,0.952959028831563,0.9419575113808801,0.9013657056145675,0.9950682852807283,0.992412746585736,1005,0.9575113808801214,0.8042488619119879,0.7128224582701063,0.9658573596358119,0.644916540212443,0.9013657056145675
01007,31.1,2020,1007,AgeAdjPrv,17,53.5,21.8,56.9,12.5,50,0.8008,0.5512,0.6292,0.8622,0.8078,27.6,7.4,21.8,19.1,9.1,25.6,0.7507587253414264,0.28072837632776937,0.26896813353566007,0.7826251896813353,0.5201062215477997,0.6160849772382397,0.8672230652503794,0.7959028831562974,1007,0.6585735963581184,0.8455993930197269,0.49013657056145676,0.8482549317147192,0.5185887708649469,0.6160849772382397
01009,17.9,2020,1009,AgeAdjPrv,14.6,58.4,19.8,62.3,10.1,54.6,0.5757,0.7225,0.4147,0.2743,0.5137,23.8,5.2,19.1,17.2,10,13.3,0.5762518968133535,0.4761001517450683,0.2317905918057663,0.543247344461305,0.7003034901365706,0.4017450682852807,0.2822458270106222,0.49241274658573597,1009,0.47192716236722304,0.5641122913505311,0.26365705614567525,0.7776934749620638,0.588391502276176,0.4017450682852807
01011,0,2020,1011,AgeAdjPrv,24.3,45,30.2,48.3,18.5,41.5,0.7183,0.6515,0.9809,0.8501,0.831,42.5,3.4,20.3,25.1,10.5,78.7,0.9871016691957512,0.03831562974203338,0,0.6923368740515933,0.6248103186646434,0.9855842185128983,0.8547040971168437,0.8205614567526556,1011,0.970030349013657,0.19992412746585736,0.36532625189681334,0.9632018209408194,0.6320182094081942,0.9855842185128983
01013,44.4,2020,1013,AgeAdjPrv,17.2,54.3,21.6,57.3,13,51,0.7486,0.6887,0.8686,0.2982,0.6843,31.6,6.5,20.8,13.6,10.1,48.7,0.7659332321699545,0.3114567526555387,0.3133535660091047,0.7257207890743551,0.6646433990895296,0.8755690440060698,0.30766312594840667,0.6638846737481032,1013,0.8008345978755691,0.7663125948406677,0.40895295902883155,0.6081183611532626,0.5967374810318664,0.8755690440060698
01015,47.8,2020,1015,AgeAdjPrv,14.8,55,20,58.7,10.3,51.2,0.7533,0.7279,0.6582,0.5197,0.7349,27.3,7.3,21.2,14.9,10,28.2,0.5914264036418816,0.33915022761760244,0.32701062215478,0.7314112291350531,0.7056145675265554,0.6475720789074355,0.5345220030349014,0.7177541729893778,1015,0.6456752655538694,0.8353566009104704,0.4389226100151745,0.6771623672230652,0.588391502276176,0.6475720789074355
01017,100,2020,1017,AgeAdjPrv,16.5,56.6,21.1,59.6,12.3,53.3,0.5837,0.5955,0.8421,0.9599,0.8074,28.2,3.6,21.6,17.4,9.2,44.9,0.7188922610015175,0.4017450682852807,0.802731411229135,0.5515933232169955,0.5663884673748103,0.8467374810318664,0.9632018209408194,0.7955235204855842,1017,0.6813353566009105,0.23937784522003036,0.47420333839150225,0.7856600910470409,0.5238998482549317,0.8467374810318664
01019,32.1,2020,1019,AgeAdjPrv,15.4,55.5,20.9,59.6,10.5,51.4,0.5029,0.4096,0.2778,0.1792,0.3269,25.9,4.1,18.2,17.2,9.5,8.7,0.6468133535660091,0.3584977238239757,0.2731411229135053,0.47116843702579664,0.37936267071320184,0.26934749620637327,0.18361153262518967,0.3144916540212443,1019,0.582701062215478,0.33801213960546284,0.19954476479514416,0.7776934749620638,0.5481790591805766,0.26934749620637327
01021,0.6,2020,1021,AgeAdjPrv,16.8,55,22.3,58.6,12,51.1,0.7295,0.9176,0.5519,0.3463,0.7222,27.7,6.1,18.5,18.2,11.7,20.1,0.7389984825493171,0.33915022761760244,0.1433990895295903,0.7040971168437026,0.9119878603945372,0.5371775417298937,0.3577389984825493,0.7044764795144158,1021,0.6631259484066768,0.7120637329286799,0.21889226100151746,0.8125948406676783,0.7063732928679818,0.5371775417298937
01023,0,2020,1023,AgeAdjPrv,18.1,54,22.7,57.2,13.9,50.8,0.6766,0.8475,0.8256,0.3526,0.7116,29.9,6.5,15.3,17.3,10.1,43.6,0.8239757207890743,0.30235204855842185,0,0.6479514415781487,0.8361153262518968,0.8292867981790591,0.36456752655538693,0.6930955993930197,1023,0.7443095599393019,0.7663125948406677,0.06980273141122914,0.7826251896813353,0.5967374810318664,0.8292867981790591
